ticker_1,ticker_2,johansen_trace_stat
MSFT,JPM,44.90247568755852
MSFT,INTC,40.769752256465935
MSFT,CSCO,33.38843164146768
MSFT,PEP,31.585308767361703
MSFT,UNH,31.079749214834667
AAPL,MSFT,30.768851627219924
MSFT,KO,30.13169063297263
MSFT,NVDA,29.408443757341637
MSFT,WMT,28.770254949406024
MSFT,AMZN,28.478791195573177
