ticker_1,ticker_2,embedding_cosine,return_corr,engle_granger_pvalue,johansen_trace_stat
JPM,INTC,0.999996477614504,0.4411669009843231,0.35662428944240276,11.229746836163809
JPM,UNH,0.9999961202565739,0.33694316504390665,0.0063837941836578154,22.555181123921596
UNH,INTC,0.9999913962002791,0.2307740826851227,0.7634826737786586,13.466674705560106
JPM,BAC,0.9999892475223044,0.7720163121205325,0.9298900338889744,3.601776032733679
BAC,UNH,0.9999885894181029,0.33665057861481695,0.8292727961465062,6.593027199081443
AAPL,UNH,0.9999873205760544,0.2209188997677782,0.6799276050631423,9.048772466122612
AMZN,UNH,0.999987055875232,0.1833510649199306,0.01753382067095393,22.08873508804716
PEP,WMT,0.9999863474331463,0.35216111620570567,0.049278244597583634,15.99292494423491
MSFT,PEP,0.9999863450499604,0.2853244833349191,0.6211279382561812,16.937968436581183
AAPL,BAC,0.9999814780809999,0.2920309129973194,0.9206858830200588,3.0026895671775446
