Date,embedding,engle_granger,johansen
2015-01-02,1.0,1.0,1.0
2015-01-05,1.0,1.0,1.0
2015-01-06,1.0,1.0,1.0
2015-01-07,1.0,1.0,1.0
2015-01-08,1.0,1.0,1.0
2015-01-09,1.0,1.0,1.0
2015-01-12,1.0,1.0,1.0
2015-01-13,1.0,1.0,1.0
2015-01-14,1.0,1.0,1.0
2015-01-15,1.0,1.0,1.0
2015-01-16,1.0,1.0,1.0
2015-01-20,1.0,1.0,1.0
2015-01-21,1.0,1.0,1.0
2015-01-22,1.0,1.0,1.0
2015-01-23,1.0,1.0,1.0
2015-01-26,1.0,1.0,1.0
2015-01-27,1.0,1.0,1.0
2015-01-28,1.0,1.0,1.0
2015-01-29,1.0,1.0,1.0
2015-01-30,1.0,1.0,1.0
2015-02-02,1.0,1.0,1.0
2015-02-03,1.0,1.0,1.0
2015-02-04,1.0,1.0,1.0
2015-02-05,1.0,1.0,1.0
2015-02-06,1.0,1.0,1.0
2015-02-09,1.0,1.0,1.0
2015-02-10,1.0,1.0,1.0
2015-02-11,1.0,1.0,1.0
2015-02-12,1.0,1.0,1.0
2015-02-13,1.0,1.0,1.0
2015-02-17,1.0,1.0,1.0
2015-02-18,1.0,1.0,1.0
2015-02-19,1.0,1.0,1.0
2015-02-20,1.0,1.0,1.0
2015-02-23,1.0,1.0,1.0
2015-02-24,1.0,1.0,1.0
2015-02-25,1.0,1.0,1.0
2015-02-26,1.0,1.0,1.0
2015-02-27,1.0,1.0,1.0
2015-03-02,1.0,1.0,1.0
2015-03-03,1.0,1.0,1.0
2015-03-04,1.0,1.0,1.0
2015-03-05,1.0,1.0,1.0
2015-03-06,1.0,1.0,1.0
2015-03-09,1.0,1.0,1.0
2015-03-10,1.0,1.0,1.0
2015-03-11,1.0,1.0,1.0
2015-03-12,1.0,1.0,1.0
2015-03-13,1.0,1.0,1.0
2015-03-16,1.0,1.0,1.0
2015-03-17,1.0,1.0,1.0
2015-03-18,1.0,1.0,1.0
2015-03-19,1.0,1.0,1.0
2015-03-20,1.0,1.0,1.0
2015-03-23,1.0,1.0,1.0
2015-03-24,1.0,1.0,1.0
2015-03-25,1.0,1.0,1.0
2015-03-26,1.0,1.0,1.0
2015-03-27,1.0,1.0,1.0
2015-03-30,1.0,1.0,1.0
2015-03-31,1.0028234960908617,1.0015072486361278,1.0015072486361278
2015-04-01,1.004076057647597,1.0023662324894864,1.0023662324894864
2015-04-02,1.0049693602819076,1.0013845474552172,1.0013845474552172
2015-04-06,1.004832309766303,1.004226095153423,1.004226095153423
2015-04-07,1.00486279280493,1.0044763774354968,1.0044763774354968
2015-04-08,1.0060541730601449,1.0034913064861999,1.0034913064861999
2015-04-09,1.0052420871008534,1.003331014877323,1.003331014877323
2015-04-10,1.0063713120879403,1.0035306898465723,1.0035306898465723
2015-04-13,1.005787614869614,1.0033148741966589,1.0033148741966589
2015-04-14,1.0015967443435654,1.0025883229916503,1.0025883229916503
2015-04-15,1.0054061756732589,1.0062304144864882,1.0062304144864882
2015-04-16,1.0045988253844564,1.0023214431889027,1.0023214431889027
2015-04-17,1.005694375442727,1.0034197942169332,1.0034197942169332
2015-04-20,1.0058204999944518,1.003864670825279,1.003864670825279
2015-04-21,1.0038523901509608,1.0031307554635291,1.0031307554635291
2015-04-22,1.0092521561648375,1.0048812369477862,1.0048812369477862
2015-04-23,1.009557368569247,1.0054583320696826,1.0054583320696826
2015-04-24,0.9979480815924935,0.9740330616369044,0.9740330616369044
2015-04-27,0.9989275648062643,0.9698159094587342,0.9713109693259612
2015-04-28,1.0009787118706832,0.9601039596674855,0.9539322106613116
2015-04-29,1.0060888218357906,0.9572008191865436,0.9481760620350703
2015-04-30,1.009851954670145,0.9659935595150807,0.9502309785964841
2015-05-01,1.0111323110241532,0.9709921306851768,0.9626375565713614
2015-05-04,1.0145388770930923,0.9797921147403751,0.9735546432298979
2015-05-05,1.0138217564329433,0.9821696479021059,0.9734324053621077
2015-05-06,1.0173879351394046,1.000385678048215,0.9950679721376937
2015-05-07,1.01374149240913,0.9959545830276477,0.9906651160891455
2015-05-08,1.010817069847292,0.97814044144384,0.9734264812780901
2015-05-11,1.011083673629588,0.9799199329771063,0.9764243117169227
2015-05-12,1.0121026458181555,0.9812403496399903,0.9762287996016499
2015-05-13,1.0123937388275108,0.9810571221701575,0.9746511246378902
2015-05-14,1.0128837673781743,0.973899489900971,0.9648305449562433
2015-05-15,1.015918862507492,0.9822224168281496,0.9752494506782242
2015-05-18,1.0178370133611965,0.9860513793524763,0.9847740492262117
2015-05-19,1.0145211261522822,0.9875176073781796,0.9877905318693969
2015-05-20,1.0160587530768794,0.9862589016409998,0.9869724789139492
2015-05-21,1.0140310077261527,0.9851177838395815,0.989273531222471
2015-05-22,1.015720117020261,0.9896313356494734,0.9965830490924906
2015-05-26,1.0133497795432296,0.9896722759539303,0.993532806883565
2015-05-27,1.011790711589874,0.9815142712591809,0.9887013315071546
2015-05-28,1.0137079678748493,0.9867805566778974,0.993963852683941
2015-05-29,1.0146966153254708,0.9921757461600368,1.0025076987927326
2015-06-01,1.0128104644414675,0.9873580907078784,0.9952649254958436
2015-06-02,1.009355796275385,0.9881215622741625,0.994058680830497
2015-06-03,1.0075279698306583,0.9854660544066298,0.9926202912306306
2015-06-04,1.006161612312739,0.9892224758798047,0.9952061011239348
2015-06-05,0.995504484493266,0.9885441618808264,0.9941454181394999
2015-06-08,0.9980473996920598,0.991717771393611,0.9951046574357887
2015-06-09,0.9937582696563304,0.9928729974773745,0.9959875135777417
2015-06-10,0.9915802296082693,0.9820281852681426,0.9856957253192092
2015-06-11,0.9936236434715429,0.9827946845676889,0.9898362709027275
2015-06-12,0.9884947988716695,0.9828931733102955,0.988225676995724
2015-06-15,0.9946613312104076,0.9869745145977333,0.9950277726442389
2015-06-16,0.9993815620265125,0.988908804974055,0.995737070552874
2015-06-17,1.001344642442648,0.9910149702977683,0.9979826544565598
2015-06-18,1.0012806856277725,0.9852605921593636,0.9931398413738277
2015-06-19,1.003311023995076,0.9894956026704536,0.997154954044589
2015-06-22,0.9991258440023222,0.9900825939654375,0.9981462094397598
2015-06-23,0.9955727749140552,0.9867502502625574,0.9971627733953378
2015-06-24,0.9979859248728403,0.9881943900127275,0.9996317241117694
2015-06-25,1.0021362649889038,0.9860111252726839,0.9988653250798117
2015-06-26,0.9976129380365163,0.9891109433843266,0.9983087080869408
2015-06-29,1.0014035551028884,0.9904169671209732,0.9991529880296781
2015-06-30,0.99979189212019,0.9876266121039247,0.998078315931507
2015-07-01,0.9962605820452863,0.987067389853497,0.9971907089936184
2015-07-02,1.0027819570992091,0.9867555507546292,0.9984577461028145
2015-07-06,1.0001176807545247,0.9871436368294472,0.9980931699569443
2015-07-07,1.0029657070470932,0.9894350207389925,0.9974723556147784
2015-07-08,1.0030245588268898,0.9898812881122278,0.9977413191228564
2015-07-09,0.9923346373185269,0.9859342205972609,0.9947244918749792
2015-07-10,0.9913345846394969,0.9850924559979951,0.9934612773926833
2015-07-13,0.9943421768012214,0.9818351396689354,0.9926670720849251
2015-07-14,0.987527466956762,0.9784717024435912,0.9902210008497399
2015-07-15,0.988514202604285,0.9799138194637841,0.9912861736920305
2015-07-16,0.9926280948986103,0.9756524830873188,0.9891745961384812
2015-07-17,0.9913041860985194,0.9715353187042838,0.9856823975619493
2015-07-20,0.9914004411028292,0.967158591511571,0.9809547018820693
2015-07-21,0.9869695856108667,0.9662345597347909,0.9767359917386014
2015-07-22,0.9772866459576779,0.9708604974451117,0.9846924780101645
2015-07-23,0.9790205053441768,0.9726292933686135,0.9863556693259834
2015-07-24,0.966963077976162,0.949829660634486,0.9757759764652453
2015-07-27,0.97244007623312,0.946946984948837,0.977718501333131
2015-07-28,0.9832942079164476,0.9548785365925133,0.9829817597046557
2015-07-29,0.9768066723106527,0.9535376344843435,0.9803350067079819
2015-07-30,0.9724843094549641,0.9490578696041275,0.9742165603819005
2015-07-31,0.9753761767203388,0.9439621995503449,0.9749359000487998
2015-08-03,0.9714118023756964,0.9404846949573213,0.9739856657917314
2015-08-04,0.96605160975301,0.9356678210117635,0.9649682018674216
2015-08-05,0.9655178826404327,0.9356334908804027,0.9678268739354122
