Date,embedding,engle_granger,johansen
2023-01-03,1.0,1.0,1.0
2023-01-04,1.0,1.0,1.0
2023-01-05,1.0,1.0,1.0
2023-01-06,1.0,1.0,1.0
2023-01-09,1.0,1.0,1.0
2023-01-10,1.0,1.0,1.0
2023-01-11,1.0,1.0,1.0
2023-01-12,1.0,1.0,1.0
2023-01-13,1.0,1.0,1.0
2023-01-17,1.0,1.0,1.0
2023-01-18,1.0,1.0,1.0
2023-01-19,1.0,1.0,1.0
2023-01-20,1.0,1.0,1.0
2023-01-23,1.0,1.0,1.0
2023-01-24,1.0,1.0,1.0
2023-01-25,1.0,1.0,1.0
2023-01-26,1.0,1.0,1.0
2023-01-27,1.0,1.0,1.0
2023-01-30,1.0,1.0,1.0
2023-01-31,1.0,1.0,1.0
2023-02-01,1.0,1.0,1.0
2023-02-02,1.0,1.0,1.0
2023-02-03,1.0,1.0,1.0
2023-02-06,1.0,1.0,1.0
2023-02-07,1.0,1.0,1.0
2023-02-08,1.0,1.0,1.0
2023-02-09,1.0,1.0,1.0
2023-02-10,1.0,1.0,1.0
2023-02-13,1.0,1.0,1.0
2023-02-14,1.0,1.0,1.0
2023-02-15,1.0,1.0,1.0
2023-02-16,1.0,1.0,1.0
2023-02-17,1.0,1.0,1.0
2023-02-21,1.0,1.0,1.0
2023-02-22,1.0,1.0,1.0
2023-02-23,1.0,1.0,1.0
2023-02-24,1.0,1.0,1.0
2023-02-27,1.0,1.0,1.0
2023-02-28,1.0,1.0,1.0
2023-03-01,1.0,1.0,1.0
2023-03-02,1.0,1.0,1.0
2023-03-03,1.0,1.0,1.0
2023-03-06,1.0,1.0,1.0
2023-03-07,1.0,1.0,1.0
2023-03-08,1.0,1.0,1.0
2023-03-09,1.0,1.0,1.0
2023-03-10,1.0,1.0,1.0
2023-03-13,1.0,1.0,1.0
2023-03-14,1.0,1.0,1.0
2023-03-15,1.0,1.0,1.0
2023-03-16,1.0,1.0,1.0
2023-03-17,1.0,1.0,1.0
2023-03-20,1.0,1.0,1.0
2023-03-21,1.0,1.0,1.0
2023-03-22,1.0,1.0,1.0
2023-03-23,1.0,1.0,1.0
2023-03-24,1.0,1.0,1.0
2023-03-27,1.0,1.0,1.0
2023-03-28,1.0,1.0,1.0
2023-03-29,1.0,1.0,1.0
2023-03-30,1.0,1.0,1.0
2023-03-31,1.0,1.0,1.0
2023-04-03,1.0,1.0,1.0
2023-04-04,1.0,1.0,1.0
2023-04-05,1.0,1.0,1.0
2023-04-06,1.0,1.0,0.9951348719758235
2023-04-10,1.0038680155016773,1.0,0.9957867072656555
2023-04-11,1.0015025867874279,1.0084601464784106,1.0020851071000743
2023-04-12,0.9986628731229295,1.0053663632299825,0.993898428658109
2023-04-13,1.0026676770367249,1.013932240805543,0.9962281304443511
2023-04-14,1.0001951235985163,1.0128499078320452,0.9963550009814471
2023-04-17,1.0059724364635214,1.0113778535647484,0.9990902096484434
2023-04-18,1.0079017421180576,1.0052630760678873,0.9988564015113504
