strategy,sharpe,total_return,max_drawdown,volatility,mean_daily_return
embedding,-0.712524095358119,-0.22181841688519166,-0.3374324198552693,0.15918260980021162,-0.00045008509938349294
engle_granger,-1.1375377526216262,-0.4496276195059856,-0.49484816036928014,0.2386067661108949,-0.0010770801765162753
johansen,-0.5691653341123916,-0.2668359894073581,-0.38653260403242884,0.22846162899198036,-0.0005160017436392132
baseline_johansen,-0.5691653341123916,-0.2668359894073581,-0.38653260403242884,0.22846162899198036,-0.0005160017436392132
