ticker_1,ticker_2,johansen_score
TSLA,XOM,22.914053904713327
META,TSLA,20.42184239949364
AMZN,TSLA,19.810521934261047
GOOGL,META,19.18788614385376
AAPL,MSFT,18.171504961492786
